observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,tc,dc,RT,TrialTypeRT,distracter,distLocRel
1,1,1,0,1,TRUE,1,0,1303.762,2.459716,0,0
1,2,3,5,1,TRUE,-1,-1,1190.747,1.852136,1,2
1,4,1,6,1,TRUE,1,-1,788.125,2.489538,1,0
1,5,6,0,1,TRUE,-1,0,815.534,1.053697,0,0
1,6,5,2,0,FALSE,1,-1,601.792,1.201185,1,4
1,7,1,4,1,TRUE,1,-1,682.984,1.05424,1,3
1,8,4,0,1,TRUE,-1,0,756.375,0.629193,0,0
1,9,1,0,1,TRUE,1,0,369.215,0.455021,0,0
1,10,5,6,1,TRUE,-1,-1,417.332,0.777008,1,2
1,11,3,5,1,TRUE,-1,-1,865.804,0.66923,1,2
1,12,5,0,1,TRUE,1,0,530.228,0.589438,0,0
1,13,1,0,1,TRUE,-1,0,616.19,0.633606,0,0
1,14,2,3,1,TRUE,-1,-1,656.065,0.495757,1,2
1,15,3,5,1,TRUE,-1,1,952.984,0.992361,1,2
1,16,4,0,1,TRUE,1,0,561.628,0.576976,0,0
1,17,6,0,1,TRUE,-1,0,880.74,0.610197,0,0
1,18,2,4,1,TRUE,1,-1,601.615,0.304287,1,3
1,19,6,0,1,TRUE,-1,0,622.325,0.343612,0,0
1,20,5,0,1,TRUE,1,0,616.5,0.385377,0,0
1,21,5,0,1,TRUE,-1,0,635.888,0.418015,0,0
1,22,1,0,1,TRUE,-1,0,529.717,0.477934,0,0
1,23,4,6,1,TRUE,1,1,751.733,0.304524,1,3
1,24,5,3,1,TRUE,-1,-1,569.956,0.245613,1,5
1,25,5,0,1,TRUE,-1,0,587.822,0.172955,0,0
1,26,1,6,1,TRUE,-1,1,660.975,0.680841,1,0
1,27,4,5,1,TRUE,1,-1,668.453,0.305078,1,2
1,28,2,0,1,TRUE,1,0,656.725,0.093317,0,0
1,29,3,4,1,TRUE,-1,1,840.975,0.298727,1,3
1,30,6,1,1,TRUE,-1,1,503.865,0.205015,1,2
1,31,5,0,1,TRUE,-1,0,707.346,0.317991,0,0
1,32,2,0,1,TRUE,-1,0,583.4,0.284639,0,0
1,33,4,2,1,TRUE,1,-1,1165.873,0.317909,1,5
1,34,4,1,1,TRUE,-1,1,701.239,0.311604,1,4
1,35,2,4,1,TRUE,-1,-1,543.565,0.259221,1,3
1,36,6,0,1,TRUE,1,0,768.132,0.325924,0,0
1,37,1,0,1,TRUE,1,0,457.665,0.264975,0,0
1,38,3,0,1,TRUE,1,0,748.303,0.265166,0,0
1,39,1,0,1,TRUE,1,0,732.529,0.469551,0,0
1,40,6,0,1,TRUE,1,0,742.531,0.337532,0,0
1,41,5,2,1,TRUE,1,1,779.685,0.541273,1,4
1,42,3,1,1,TRUE,-1,-1,695.208,0.312092,1,5
1,43,3,0,1,TRUE,-1,0,773.524,0.305441,0,0
1,44,1,3,0,TRUE,-1,-1,991.383,0.370647,1,3
1,45,6,5,1,TRUE,-1,1,1245.001,0.692097,1,2
1,46,2,6,1,TRUE,-1,-1,1146.218,0.418384,1,5
1,47,4,6,1,TRUE,1,-1,1045.786,0.607438,1,3
1,48,4,1,1,TRUE,-1,1,987.329,0.344813,1,4
1,49,3,5,1,TRUE,1,-1,807.367,0.470234,1,2
1,50,4,0,1,TRUE,1,0,1062.963,0.521555,0,0
1,51,6,0,1,TRUE,-1,0,887.109,1.10383,0,0
1,52,1,2,1,TRUE,1,1,688.848,0.357966,1,2
1,53,2,5,1,TRUE,1,-1,887.297,0.323782,1,2
1,54,1,1,1,TRUE,1,-1,734.548,0.272574,1,1
1,55,6,0,1,TRUE,-1,0,576.094,0.26495,0,0
1,56,1,4,1,TRUE,1,1,563.988,0.298058,1,3
1,57,5,0,1,TRUE,-1,0,568.012,0.304968,0,0
1,58,3,0,1,TRUE,1,0,879.991,0.279384,0,0
1,59,6,3,1,TRUE,1,-1,748.828,0.312036,1,4
1,60,1,0,1,TRUE,1,0,769.021,0.344326,0,0
1,61,2,5,1,TRUE,-1,-1,894.835,0.337344,1,2
1,62,3,1,1,TRUE,1,1,780.186,0.317001,1,5
1,63,5,3,1,TRUE,1,1,708.431,0.271261,1,5
1,64,3,6,1,TRUE,1,1,746.707,0.153371,1,4
1,65,6,0,1,TRUE,1,0,575.161,0.283996,0,0
1,66,4,3,1,TRUE,1,1,682.281,0.330986,1,0
1,67,1,0,1,TRUE,1,0,456.255,0.317182,0,0
1,68,5,0,1,TRUE,-1,0,596.593,0.306286,0,0
1,69,3,0,1,TRUE,1,0,636.418,0.369963,0,0
1,70,6,0,1,TRUE,-1,0,841.061,0.469981,0,0
1,71,2,1,1,TRUE,-1,1,939.683,0.434508,1,0
1,72,3,0,1,TRUE,1,0,1004.586,0.266113,0,0
1,73,6,6,1,TRUE,-1,1,952.856,0.622214,1,1
1,74,5,3,1,TRUE,-1,1,662.265,0.370014,1,5
1,75,4,6,1,TRUE,-1,1,780.689,0.391841,1,3
1,76,5,0,1,TRUE,-1,0,562.81,0.338942,0,0
1,77,1,2,1,TRUE,1,-1,608.117,0.442627,1,2
1,78,6,4,1,TRUE,1,-1,628.581,0.305164,1,3
1,79,5,0,1,TRUE,1,0,693.492,0.332589,0,0
1,80,5,2,1,TRUE,-1,-1,516.186,0.344824,1,4
1,81,1,1,1,TRUE,-1,-1,715.48,0.342947,1,1
1,82,6,5,1,TRUE,1,-1,788.479,2.756998,1,2
1,83,1,4,1,TRUE,-1,1,947.227,0.56489,1,3
1,84,6,4,0,TRUE,-1,1,1276.58,0.623417,1,3
1,85,4,0,1,TRUE,-1,0,616.308,0.576373,0,0
1,86,6,6,1,TRUE,1,1,523.258,0.285832,1,1
1,87,4,0,1,TRUE,-1,0,582.978,0.325637,0,0
1,88,1,0,1,TRUE,-1,0,662.42,0.286442,0,0
1,89,2,1,1,TRUE,1,1,575.961,0.277785,1,0
1,90,1,0,1,TRUE,-1,0,647.039,0.475592,0,0
1,91,6,0,0,TRUE,-1,0,761.246,0.317792,0,0
