observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,tc,dc,RT,TrialTypeRT,distracter,distLocRel
1,1,1,0,1,TRUE,1,0,0.585698,2.3809,0,0
1,4,1,6,1,TRUE,1,-1,0.854807,0,1,0
1,5,6,0,1,TRUE,-1,0,0.997126,0,0,0
1,6,5,2,0,TRUE,1,-1,0.51571,0,1,4
1,7,1,4,1,TRUE,1,-1,0.863053,0,1,3
1,8,4,0,1,TRUE,-1,0,0.772859,0,0,0
1,9,1,0,1,TRUE,1,0,0.740515,0,0,0
1,10,5,6,1,TRUE,-1,-1,0.777209,0,1,2
1,11,3,5,1,TRUE,-1,-1,0.824798,0,1,2
1,12,5,0,1,TRUE,1,0,0.662796,0,0,0
1,13,1,0,1,TRUE,-1,0,0.630314,1.803285,0,0
1,14,2,3,1,FALSE,-1,-1,0.667768,1.345412,1,2
1,15,3,5,1,TRUE,-1,1,1.044611,1.47346,1,2
1,16,4,0,1,TRUE,1,0,1.368351,0,0,0
1,18,2,4,1,TRUE,1,-1,1.261423,0,1,3
1,20,5,0,1,TRUE,1,0,0.74038,0,0,0
1,21,5,0,1,TRUE,-1,0,0.710119,0,0,0
1,22,1,0,1,TRUE,-1,0,0.603993,0,0,0
1,24,5,3,1,TRUE,-1,-1,0.751674,0,1,5
1,25,5,0,1,TRUE,-1,0,0.752115,0,0,0
1,26,1,6,1,TRUE,-1,1,0.746426,0,1,0
1,27,4,5,1,TRUE,1,-1,0.89473,0,1,2
1,28,2,0,1,TRUE,1,0,0.823406,0,0,0
1,31,5,0,1,TRUE,-1,0,0.97949,0,0,0
1,32,2,0,1,TRUE,-1,0,0.913667,1.582881,0,0
1,33,4,2,1,TRUE,1,-1,1.115289,0,1,5
1,34,4,1,1,FALSE,-1,1,1.360206,1.715626,1,4
1,36,6,0,1,TRUE,1,0,0.85804,0,0,0
1,37,1,0,1,TRUE,1,0,1.111228,0,0,0
1,38,3,0,0,TRUE,1,0,0.850558,4.59737,0,0
1,39,1,0,1,TRUE,1,0,0.700192,0,0,0
1,41,5,2,1,TRUE,1,1,1.208256,1.864646,1,4
1,42,3,1,1,TRUE,-1,-1,1.323163,0,1,5
1,43,3,0,1,TRUE,-1,0,0.897419,1.360861,0,0
1,44,1,3,1,TRUE,-1,-1,1.304272,0,1,3
1,46,2,6,1,FALSE,-1,-1,0.99046,0.870202,1,5
1,47,4,6,1,TRUE,1,-1,0.756592,0,1,3
1,48,4,1,1,TRUE,-1,1,0.89771,1.757013,1,4
1,49,3,5,1,TRUE,1,-1,0.939071,0,1,2
1,50,4,0,1,TRUE,1,0,0.589562,0,0,0
1,52,1,2,1,TRUE,1,1,1.188115,0,1,2
1,53,2,5,1,FALSE,1,-1,1.02739,1.210344,1,2
1,54,1,1,1,FALSE,1,-1,0.968659,0.918407,1,1
1,56,1,4,1,FALSE,1,1,1.096298,0.692334,1,3
1,57,5,0,1,TRUE,-1,0,1.043594,1.009587,0,0
1,58,3,0,1,TRUE,1,0,0.901853,0,0,0
1,60,1,0,1,TRUE,1,0,0.693388,1.947515,0,0
1,61,2,5,1,TRUE,-1,-1,1.358537,0,1,2
1,62,3,1,1,TRUE,1,1,0.821892,1.523504,1,5
1,63,5,3,1,TRUE,1,1,0.716765,0,1,5
1,64,3,6,1,TRUE,1,1,0.883789,1.537485,1,4
1,65,6,0,1,TRUE,1,0,0.554182,1.31196,0,0
1,66,4,3,1,TRUE,1,1,0.607745,1.189499,1,0
1,67,1,0,1,TRUE,1,0,0.476493,0,0,0
1,68,5,0,1,TRUE,-1,0,0.575986,1.018237,0,0
1,69,3,0,1,TRUE,1,0,0.791313,1.004533,0,0
1,72,3,0,1,FALSE,1,0,0.887778,1.021081,0,0
1,73,6,6,1,FALSE,-1,1,1.133995,0.802975,1,1
1,74,5,3,1,FALSE,-1,1,1.109053,0.653584,1,5
1,75,4,6,1,TRUE,-1,1,1.169495,0.906099,1,3
1,76,5,0,1,TRUE,-1,0,0.576479,1.171862,0,0
1,77,1,2,1,TRUE,1,-1,0.862439,0,1,2
1,78,6,4,1,TRUE,1,-1,0.823444,2.52369,1,3
1,79,5,0,1,TRUE,1,0,0.822519,1.697702,0,0
1,81,1,1,1,FALSE,-1,-1,1.163808,1.188962,1,1
1,83,1,4,1,FALSE,-1,1,0.942914,0.756063,1,3
1,87,4,0,1,TRUE,-1,0,0.498435,0,0,0
1,88,1,0,1,TRUE,-1,0,0.577724,1.875974,0,0
1,89,2,1,1,TRUE,1,1,0.727661,1.040291,1,0
1,90,1,0,1,TRUE,-1,0,0.791433,0.873498,0,0
1,91,6,0,1,TRUE,-1,0,0.703498,0.693886,0,0
1,92,4,1,1,TRUE,1,1,0.628038,1.252983,1,4
1,95,1,0,1,FALSE,1,0,0.969664,2.379346,0,0
1,96,3,1,1,TRUE,1,-1,1.00541,0,1,5
1,97,4,0,1,TRUE,1,0,0.598382,0,0,0
1,99,2,0,1,TRUE,1,0,0.410589,0.94485,0,0
