"observer","trial","targLoc","distLoc","targDiscrim","thought","tc","dc","RT","TrialTypeRT","distracter","distLocRel","pathLength","nFix","congC","distLocO","lookedAtTarg","lookedAtDist","lengthOK","captured"
"1",1,1,NA,1,"direct",1,0,0.585698,2.3809,0,0,0.680030893858185,2,"no distracter",0,TRUE,FALSE,"FALSE","none"
"1",4,1,6,1,"direct",1,-1,0.854807,0,1,0,2.47386930348193,4,"incongruent",6,TRUE,FALSE,"FALSE","tooLong"
"1",5,6,NA,1,"direct",-1,0,0.997126,0,0,0,1.19765968994124,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",7,1,4,1,"direct",1,-1,0.863053,0,1,3,2.92778876100702,3,"incongruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",8,4,NA,1,"direct",-1,0,0.772859,0,0,0,1.0673922965014,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",9,1,NA,1,"direct",1,0,0.740515,0,0,0,1.07028983210485,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",10,5,4,1,"direct",-1,-1,0.777209,0,1,2,1.77616938676853,4,"congruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",11,3,1,1,"direct",-1,-1,0.824798,0,1,2,2.59996327028766,4,"congruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",12,5,NA,1,"direct",1,0,0.662796,0,0,0,0.944956350781777,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",13,1,NA,1,"direct",-1,0,0.630314,1.803285,0,0,2.22782230757037,4,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",14,2,4,1,"captured",-1,-1,0.667768,1.345412,1,2,NA,1,"congruent",3,FALSE,FALSE,NA,"none"
"1",15,3,1,1,"direct",-1,1,1.044611,1.47346,1,2,2.51312727857908,4,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",16,4,NA,1,"direct",1,0,1.368351,0,0,0,0.969831883914238,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
